Designator,Footprint,Quantity,Value,LCSC Part #
BTM1,BTM331,1,~,
"C1, C10, C19, C3, C5, C7",1206,6,10uF/25V(20%),
"C11, C2, C4, C6, C8",1206,5,0.1uF/50V(10%),
C14,1206,1,1uF/16V(10%),
"C15, C20",0805,2,2.2uF,
C17,1206,1,22UF,
C21,0603,1,15pF,
C22,1206,1,1uF/16V,
D1,1206,1,D,
"J1, J2",AMPHENOL_10118193-0001LF,2,10118193-0001LF,
"J10, J11, J15, J16, J18, J9",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
"J12, J13, J14",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05_Pin,
"J17, J19",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
"J3, J6",AMPHENOL_F52R-1A7H1-11018,2,F52R-1A7H1-11018,
"J4, J5, J7",PinHeader_1x18_P2.54mm_Vertical,3,Conn_01x18_Pin,
J8,"PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",1,U_FL-R-SMT_10_,U.FL-R-SMT(10)
L1,L_6.3x6.3_H3,1,15NH,
R1,0603,1,10K(1%),
"R10, R3, R4, R5, R6, R7, R8, R9",0603,8,500,
"R11, R2",0603,2,1K,
R12,0603,1,2.2K,
R13,0603,1,22.1K,
R14,0603,1,47.5K,
R15,0603,1,10k(NC),
"U1, U2",SOT-223-3_TabPin2,2,SGM2212-3.3,
"U3, U5",SOIC127P600X175-8N,2,TJA1027T_20_118,
U4,ESP32-MINI-1,1,ESP32-MINI-1,
U6,SOP65P640X120-16N,1,SN74AHCT157PWR,
U7,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm_ThermalVias,1,CP2102N-Axx-xQFN20,
